"","Temperature...C.","Conductivity..S.m.","Pressure..dbar.","Fluorescence..mg.m³.","Salinity","Depth..m.","Density..kg.m³.","Chlorophyll..mg.m³.","Phaeopigment..mg.m³.","Phosphate..µmol.L.","Silicate..µmol.L.","Nitrite.and.Nitrate..µmol.L.","Primary.Prod...mg.m³.day.","Prim.Prod.STD..mg.m³.day.","Alveolata.Dinoflagellata","Alveolata.otherAlveolata","Archaeplastida.Chlorophyta","Archaeplastida.otherArchaeplastida","Cryptophyceae.Cryptomonadales.Geminigera","Cryptophyceae.otherCryptophyceae","Excavata.Discoba.Jakobida","Haptophyta.Phaeocystis","Picozoa.otherPicozoa","Rhizaria.Cercozoa","Rhizaria.otherRhizaria","SAR_unclassified","Stramenopiles.Diatomea.Bacillariophytina","Stramenopiles.Diatomea.Coscinodiscophytina","Stramenopiles.Diatomea.otherDiatomea","Stramenopiles.Dictyochophyceae.Dictyochales","Stramenopiles.Dictyochophyceae.Florenciellales","Stramenopiles.Dictyochophyceae.otherDictyochophyceae","Stramenopiles.Dictyochophyceae.Pedinellales","Stramenopiles.Ochrophyta.other","Stramenopiles.otherStramenopiles","Stramenopiles.Phaeophyceae","Stramenopiles.Diatomea.ME-Euk-FW10","Stramenopiles.MAST-2","Stramenopiles.MAST-3","Picozoa.Picomonadida"
"Temperature...C.","1","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Conductivity..S.m.","0.9","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pressure..dbar.","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fluorescence..mg.m³.","","","","1","","","","0.92","","-0.74","","","","0.69","","","","","","","","","","","","","0.67","0.78","","","","","","","","","","","",""
"Salinity","","","","","1","","0.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Depth..m.","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Density..kg.m³.","","","","","0.99","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chlorophyll..mg.m³.","","","","0.92","","","","1","","-0.79","","","","0.79","","","","","","","","","","","","","0.74","0.84","","","","","","","","","","","",""
"Phaeopigment..mg.m³.","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phosphate..µmol.L.","","","","-0.74","","","","-0.79","","1","","0.79","","","","","","","","","","","","","","","-0.69","-0.79","","","","","","","","","","","",""
"Silicate..µmol.L.","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nitrite.and.Nitrate..µmol.L.","","","","","","","","","","0.79","","1","","-0.66","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Primary.Prod...mg.m³.day.","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prim.Prod.STD..mg.m³.day.","","","","0.69","","","","0.79","","","","-0.66","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolata.Dinoflagellata","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alveolata.otherAlveolata","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Archaeplastida.Chlorophyta","","","","","","","","","","","","","","","","","1","0.7","","","","","0.77","","0.82","","","","","","","","","","","","","","",""
"Archaeplastida.otherArchaeplastida","","","","","","","","","","","","","","","","","0.7","1","","","","","0.91","","0.88","","0.72","","-0.68","","","","","","","","","","",""
"Cryptophyceae.Cryptomonadales.Geminigera","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","0.71"
"Cryptophyceae.otherCryptophyceae","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Excavata.Discoba.Jakobida","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"Haptophyta.Phaeocystis","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
"Picozoa.otherPicozoa","","","","","","","","","","","","","","","","","0.77","0.91","","","","","1","","0.94","","","","","","","","","","","","","","",""
"Rhizaria.Cercozoa","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
"Rhizaria.otherRhizaria","","","","","","","","","","","","","","","","","0.82","0.88","","","","","0.94","","1","","","","","","","","","","","","","","",""
"SAR_unclassified","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","0.74","0.76","","","","","","","","","",""
"Stramenopiles.Diatomea.Bacillariophytina","","","","0.67","","","","0.74","","-0.69","","","","","","","","0.72","","","","","","","","","1","0.96","","","","0.67","","","","","","","",""
"Stramenopiles.Diatomea.Coscinodiscophytina","","","","0.78","","","","0.84","","-0.79","","","","","","","","","","","","","","","","","0.96","1","","","","","","","","","","","",""
"Stramenopiles.Diatomea.otherDiatomea","","","","","","","","","","","","","","","","","","-0.68","","","","","","","","0.74","","","1","","","","","","","","","","",""
"Stramenopiles.Dictyochophyceae.Dictyochales","","","","","","","","","","","","","","","","","","","","","","","","","","0.76","","","","1","","","","","","","","","",""
"Stramenopiles.Dictyochophyceae.Florenciellales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","0.79","0.85",""
"Stramenopiles.Dictyochophyceae.otherDictyochophyceae","","","","","","","","","","","","","","","","","","","","","","","","","","","0.67","","","","","1","","","","","","","",""
"Stramenopiles.Dictyochophyceae.Pedinellales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
"Stramenopiles.Ochrophyta.other","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
"Stramenopiles.otherStramenopiles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
"Stramenopiles.Phaeophyceae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
"Stramenopiles.Diatomea.ME-Euk-FW10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
"Stramenopiles.MAST-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.79","","","","","","","1","0.66",""
"Stramenopiles.MAST-3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.85","","","","","","","0.66","1",""
"Picozoa.Picomonadida","","","","","","","","","","","","","","","","","","","0.71","","","","","","","","","","","","","","","","","","","","","1"
