"","Temperature...C.","Conductivity..S.m.","Pressure..dbar.","Fluorescence..mg.m³.","Salinity","Depth..m.","Density..kg.m³.","Chlorophyll..mg.m³.","Phaeopigment..mg.m³.","Phosphate..µmol.L.","Silicate..µmol.L.","Nitrite.and.Nitrate..µmol.L.","Primary.Prod...mg.m³.day.","Prim.Prod.STD..mg.m³.day.","Archaeplastida.Chlorophyta.and.otherArchaeplastida","Excavata.Discoba.Jakobida","Picozoa.Picomonadida","Stramenopiles.MAST-2.and.MAST-3","Eukaryota;other","Cryptophyceae.Geminigera.and.otherCryptophyceae","Haptophyta.Phaeocystis.and.non-Phaeocystis","Alveolata.Dinoflagellata","Rhizaria.Cercozoa","Stramenopiles.Diatomea.all","Stramenopiles.Dictyochophyceae.all","SAR_unclassified.and.otherStramenopiles.and.otherAlveolata.and.Ochrophyta.and.Phaeophyceae"
"Temperature...C.","1","0.91","","","","","","","","","","","","","","","0.72","","","","","","","-0.66","-0.65",""
"Conductivity..S.m.","0.91","1","","","","","","","","","","","","","","","0.65","","","","","","","","",""
"Pressure..dbar.","","","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Fluorescence..mg.m³.","","","","1","","","","0.72","","","","","","0.65","","","","","","","","","","","",""
"Salinity","","","","","1","","0.99","","","","","","","","","","","","","","","","","","",""
"Depth..m.","","","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Density..kg.m³.","","","","","0.99","","1","","","","","","","","","","","","","","","","","","0.68",""
"Chlorophyll..mg.m³.","","","","0.72","","","","1","","","","","","0.92","","","","","","","","","","","",""
"Phaeopigment..mg.m³.","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Phosphate..µmol.L.","","","","","","","","","","1","","0.85","","","0.74","","","","","","","","","","",""
"Silicate..µmol.L.","","","","","","","","","","","1","0.65","","","","","","","","","","","","","",""
"Nitrite.and.Nitrate..µmol.L.","","","","","","","","","","0.85","0.65","1","","","","","","","","","","","","","",""
"Primary.Prod...mg.m³.day.","","","","","","","","","","","","","1","","","","","","","","","","0.73","","",""
"Prim.Prod.STD..mg.m³.day.","","","","0.65","","","","0.92","","","","","","1","","","","","","","","","0.7","","",""
"Archaeplastida.Chlorophyta.and.otherArchaeplastida","","","","","","","","","","0.74","","","","","1","","","","","","","","","","0.79",""
"Excavata.Discoba.Jakobida","","","","","","","","","","","","","","","","1","","","0.79","","","","","","",""
"Picozoa.Picomonadida","0.72","0.65","","","","","","","","","","","","","","","1","","","","","","","","",""
"Stramenopiles.MAST-2.and.MAST-3","","","","","","","","","","","","","","","","","","1","","","","","","","",""
"Eukaryota;other","","","","","","","","","","","","","","","","0.79","","","1","","","","","-0.72","",""
"Cryptophyceae.Geminigera.and.otherCryptophyceae","","","","","","","","","","","","","","","","","","","","1","","","","-0.71","",""
"Haptophyta.Phaeocystis.and.non-Phaeocystis","","","","","","","","","","","","","","","","","","","","","1","","","","",""
"Alveolata.Dinoflagellata","","","","","","","","","","","","","","","","","","","","","","1","","","",""
"Rhizaria.Cercozoa","","","","","","","","","","","","","0.73","0.7","","","","","","","","","1","","",""
"Stramenopiles.Diatomea.all","-0.66","","","","","","","","","","","","","","","","","","-0.72","-0.71","","","","1","",""
"Stramenopiles.Dictyochophyceae.all","-0.65","","","","","","0.68","","","","","","","","0.79","","","","","","","","","","1",""
"SAR_unclassified.and.otherStramenopiles.and.otherAlveolata.and.Ochrophyta.and.Phaeophyceae","","","","","","","","","","","","","","","","","","","","","","","","","","1"
