"","Taxa","2012-11-27","2013-02-08","2013-12-27","2014-01-23","2014-02-03","2014-02-10","2014-02-28","2014-03-04","2014-12-01","2014-12-11","2015-01-12","2015-01-19","2015-02-09","2015-02-23","2015-03-09"
"1","Archaeplastida. Chlorophyta & otherArchaeplastida",1337,3373,36382,1657,305,1469,1379,1940,10098,5483,3121,4079,6730,3990,1841
"2","Cryptophyceae.Cryptomonadales.Geminigera",14417,126285,17985,246143,183723,95548,20128,81766,7289,5540,139165,45369,55168,14948,1027
"3","Cryptophyceae.otherCryptophyceae",4678,33843,5465,47519,40633,20233,22225,21180,2384,1537,35587,204386,13750,4687,480
"4","Excavata.Discoba.Jakobida",12885,35788,2026,5316,7343,9692,10245,19158,2174,4288,16691,4920,10792,2900,1831
"5","Haptophyta.Phaeocystis",19871,29885,41835,59145,41028,33470,13921,38527,16007,21663,4774,2319,17473,21528,15675
"6","Haptophyta.non_Phaeocystis",2511,83712,2222,3150,4062,9296,5208,18347,7644,3504,20411,12889,16591,8646,10861
"7","Picozoa.Picomonadida",2316,26799,884,10224,18616,4735,503,2970,908,1316,4376,2307,1173,1354,3254
"8","Alveolata.Dinoflagellata",25511,26050,27860,44182,8535,14451,7969,20368,0,27828,12761,6140,19841,11461,37888
"9","Alveolata.otherAlveolata",46476,98840,17296,58470,53758,49684,18123,39582,83822,23782,57335,36546,32148,35173,27868
"10","Rhizaria.Cercozoa",17581,86,5075,11302,9280,7495,2601,2148,640,1903,3979,1240,315,105,63
"11","Stramenopiles.MAST-2 & MAST-3",4732,58535,4670,13449,13426,25352,24953,26316,17187,11313,64008,88759,9072,4628,19802
"12","Stramenopiles.Diatomea.Bacillariophytina",5665,835,5892,880,611,1920,5996,3037,382,860,218,537,4576,12436,1620
"13","Stramenopiles.Diatomea.Coscinodiscophytina",38,1143,137,42,10,118,266,37,37,340,22,480,86,46,34
"14","Stramenopiles.Diatomea.otherDiatomea",245733,33117,213157,78614,166603,218185,329366,158865,114900,111177,62657,93661,155117,146397,164216
"15","Stramenopiles.Diatomea.ME-Euk-FW10",293082,137,115885,14315,310,297,1541,516,141122,153847,446,413,76,57,86
"16","Stramenopiles.Dictyochophyceae.Dictyochales & Florenciellales & otherDictyochophyceae",142,1431,2726,973,776,1091,1051,1617,1190,827,3179,3432,299,183,266
"17","Stramenopiles.Dictyochophyceae.Pedinellales",29036,8844,127704,3411,2891,6208,2539,8208,97357,57691,22278,13239,2363,4059,2401
"18","Stramenopiles.Ochrophyta.other",3089,34766,747,0,1709,8158,5992,14480,1812,6473,2723,14325,10538,10711,17206
"19","Stramenopiles.Phaeophyceae",35654,9273,60371,9402,10970,16401,46860,28893,11992,36646,15521,13327,101878,70114,42129
"20","Stramenopiles.otherStramenopiles",210992,190353,119738,53493,50894,53785,60885,114829,88859,72261,60564,67180,97474,103126,112434
"21","SAR_unclassified",15867,13918,11894,22934,10322,13163,41804,14082,5454,14617,4410,2086,8448,5541,9902
"22","Eukaryota;other",228912,692078,157390,171770,209776,209328,173764,214490,120610,119571,308254,186732,134401,105705,103951
