,Taxa,27-11-12,2012-11-30.metagenome,2012-12-10.metagenome,2012-12-17.metagenome,08-02-13,2013-02-15.metagenome,27-12-13,23-01-14,03-02-14,10-02-14,28-02-14,04-03-14,01-12-14,11-12-14,12-01-15,19-01-15,09-02-15,23-02-15,09-03-15
1,Archaeplastida.Chlorophyta,0.000898536,0.00619413,0.013286829,0.056802829,0.001363503,0.044027759,0.043831888,0.002122342,0.000321186,0.000756664,0.001040806,0.001648656,0.014244394,0.008042338,0.004748926,0.002373574,0.009519283,0.006076738,0.001985627
2,Archaeplastida.otherArchaeplastida,0.000449772,0.044062786,0.053479488,0.077068267,0.00276495,0.069173045,0.000539057,0.000297975,0.000166186,0.001730001,0.001170707,0.001496273,0.002275635,0.00169836,0.00109317,0.004230661,0.002415288,0.002557943,0.001924041
3,Cryptophyceae.Cryptomonadales.Geminigera,0.014538938,0,0.000166085,0.000119208,0.154569144,3.76145E-05,0.021934238,0.35953177,0.293578671,0.161739887,0.03227943,0.132550667,0.011924588,0.00984196,0.260498366,0.073456125,0.097831561,0.032348677,0.002181004
4,Cryptophyceae.otherCryptophyceae,0.004717566,0.002111635,0.016110281,0.213899706,0.041422841,0.161949183,0.006665032,0.069409206,0.064929171,0.034249625,0.035642405,0.034334847,0.003900153,0.002730522,0.06661413,0.330917663,0.02438341,0.010143046,0.001019359
5,Excavata.Discoba.Jakobida,0.012993981,0,0.000332171,0.001152348,0.043803465,0.000714675,0.002470879,0.00776488,0.011733687,0.016406235,0.016429986,0.031056988,0.0035566,0.007617748,0.031243331,0.007965883,0.019137874,0.006275834,0.003888431
6,Haptophyta.Phaeocystis,0.020039068,0.003378616,0.008802524,0.019053485,0.036578365,0.009949032,0.051021342,0.086390864,0.065560358,0.056656696,0.022325216,0.062456028,0.026186978,0.038484907,0.008936293,0.003754651,0.030985551,0.046588327,0.033288453
7,Haptophyta.non-Phaeocystis,0.002532238,0.004012107,0.020926756,0.121175395,0.102461038,0.353068402,0.002709918,0.004601086,0.00649084,0.015735902,0.00835211,0.029742278,0.012505358,0.006224951,0.038206677,0.020868346,0.029421466,0.018710641,0.023065129
8,Picozoa.otherPicozoa,0,0,0.000166085,0.000278153,0,0.000319723,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Picozoa.Picomonadida,0.002335589,0,0,0,0.032801192,0,0.001078113,0.01493381,0.029747285,0.008015221,0.000806665,0.00481466,0.001485461,0.00233791,0.00819129,0.003735222,0.002080127,0.002930165,0.006910407
10,Alveolata.Dinoflagellata,0.02572677,0.013866404,0.023584122,0.04853771,0.031884438,0.063549679,0.03397764,0.064534976,0.013638434,0.024462083,0.012779947,0.033018516,0,0.049437196,0.023886894,0.009941163,0.035184817,0.024802528,0.08046143
11,Alveolata.otherAlveolata,0.046869091,0.008516928,0.013619,0.09036001,0.120977267,0.067630851,0.021093943,0.085404917,0.085902158,0.084103116,0.029063996,0.064166286,0.137130312,0.042249368,0.107323492,0.059170965,0.057009299,0.076117207,0.059182304
12,Rhizaria.Cercozoa,0.017729699,0.000422327,0.000498256,0.005821346,0.000105261,0.002877508,0.006189394,0.016508404,0.0148289,0.01268724,0.004171244,0.003482118,0.001047021,0.003380731,0.007448159,0.002007661,0.000558602,0.000227228,0.000133791
13,Rhizaria.otherRhizaria,0,0.000140776,0.000830427,0.003794803,0,0.002520171,0,0,0,0,0,0,0,0,0,0,0,0,0
14,SAR_unclassified,0.016001202,0,0,0,0.017035225,0,0.014505745,0.033498826,0.016493956,0.022281807,0.0670414,0.022828297,0.008922583,0.025967497,0.008254933,0.003377405,0.014981167,0.011991171,0.021028534
15,Stramenopiles.MAST-2,0.001111321,0,0,0,0.000712351,0,0.002813583,0.00105898,0.005837282,0.001528563,0.000663935,0.00048795,0.008147133,0.003608127,0.011657987,0.010522413,0.001347738,0.004838884,0.037565515
16,Stramenopiles.MAST-3,0.003660702,0,0,0,0.070932776,0,0.00288188,0.018585466,0.015616686,0.041386303,0.039353385,0.042172854,0.019970291,0.016489725,0.108156473,0.133185673,0.014739993,0.005176481,0.004487305
17,Stramenopiles.Diatomea.Bacillariophytina,0.005712914,0.255930175,0.272878259,0.100870222,0.001022016,0.070433131,0.007185795,0.001285383,0.000976342,0.0032501,0.009615832,0.004923273,0.000624941,0.001527813,0.000408067,0.000869447,0.008114799,0.026912506,0.003440338
18,Stramenopiles.Diatomea.Coscinodiscophytina,3.83214E-05,0.632434715,0.527819299,0.034967814,0.001398999,0.034981475,0.000167083,6.13478E-05,1.59794E-05,0.000199746,0.000426586,5.99806E-05,6.05309E-05,0.000604019,4.11811E-05,0.000777159,0.000152507,9.95477E-05,7.22046E-05
19,Stramenopiles.Diatomea.otherDiatomea,0.247811394,0.001055818,0.000664341,9.93404E-05,0.040534239,0.000112843,0.259963095,0.114828496,0.266221906,0.369334965,0.528206814,0.257535672,0.187973,0.197508954,0.117285568,0.151644825,0.275075012,0.316814906,0.348739817
20,Stramenopiles.Diatomea.ME-Euk-FW10,0.295560869,0,0,0,0.000167684,0,0.141331616,0.020909379,0.000495362,0.00050275,0.002471314,0.000836486,0.230871416,0.273313365,0.000834853,0.000668681,0.000134774,0.000123353,0.000182635
21,Stramenopiles.Dictyochophyceae.Dictyochales,4.03383E-06,7.03878E-05,0,1.98681E-05,0,3.76145E-05,1.58546E-05,2.48313E-05,1.27835E-05,4.2319E-05,0.000971847,0.000513888,1.63597E-05,5.32958E-06,1.87187E-05,1.61908E-06,5.32002E-05,2.8133E-05,4.24733E-05
22,Stramenopiles.Dictyochophyceae.otherDictyochophyceae,0,0,0.000166085,1.98681E-05,1.34637E-05,7.5229E-05,1.21959E-06,0,1.59794E-06,0,0,3.2422E-06,4.90791E-06,5.32958E-06,7.48747E-06,0,0,0,0
23,Stramenopiles.Dictyochophyceae.Florenciellales,0.000139167,0.000844654,0.000332171,0.000158945,0.001738038,0.000188072,0.003307515,0.001396393,0.001225621,0.001804483,0.00071365,0.002104185,0.001925537,0.001458529,0.005924459,0.00555507,0.000477028,0.000367894,0.000522422
24,Stramenopiles.Dictyochophyceae.Pedinellales,0.029281585,0,0,9.93404E-05,0.010824797,3.76145E-05,0.155745892,0.004982319,0.00461965,0.010508658,0.004071814,0.013305969,0.159273171,0.102489625,0.041701452,0.021435025,0.0041904,0.008784003,0.00509892
25,Stramenopiles.Ochrophyta.other,0.003115127,0.002956289,0.005979073,0.020583327,0.042552566,0.013954975,0.00091103,0,0.002730883,0.013809541,0.009609417,0.023473493,0.002964378,0.01149946,0.005097094,0.023193348,0.018687445,0.023179467,0.036539785
26,Stramenopiles.Phaeophyceae,0.035955559,0.014922221,0.0204285,0.050902011,0.011349881,0.032781027,0.07362757,0.013733146,0.017529422,0.027762966,0.075149746,0.046838373,0.019618557,0.065102612,0.029053247,0.021577504,0.180664222,0.151732347,0.089467894
27,Stramenopiles.otherStramenopiles,0.212776557,0.009080031,0.019930244,0.154216006,0.232986501,0.071580373,0.146030677,0.078135202,0.081325653,0.091045127,0.097641748,0.186149018,0.145370695,0.128373625,0.113367751,0.108769919,0.172854437,0.223172975,0.238772182
