"","Temperature...C.","Conductivity..S.m.","Pressure..dbar.","Fluorescence..mg.m..","Salinity","Depth..m.","Density..kg.m..","Chlorophyll..mg.m..","Phaeopigment..mg.m..","Phosphate..µmol.L.","Silicate..µmol.L.","Nitrite.and.Nitrate..µmol.L.","Primary.Prod...mg.m..day.","Prim.Prod.STD..mg.m..day."
"1",-0.4449,2.773329,10.075,12.6172,33.7555,9.976,1027.1707,21.1981377871032,-0.391234542160188,1.15,56.31,7.5585,349.220204488084,174.819102588898
"2",1.6186,2.917599,10.109,2.068,33.3893,10.053,1026.7569,3.04947144956,0.251276447443743,1.502,58.792,20.937,175.586380837007,8.3060765816786
"3",0.1924,2.83921,10.151,-0.0069,33.9241,10.051,1027.2761,0.446459493963436,0.0381085845865645,2.107,72.076,29.503,89.5113891709577,11.3014160922958
"4",0.7696,2.816108,9.936,10.8497,32.9958,9.839,1026.495,5.61885607036909,0.631598623630907,0.995,53.572,11.743,251.052125897865,27.3412422916564
"5",1.8136,2.890779,9.927,1.2864,32.8465,9.83,1026.307,4.4428164277337,0.2166134350663,0.809,47.077,8.18,318.058250988142,64.5705298610867
"6",0.8569,2.838598,9.954,-0.0903,33.1929,9.857,1026.6485,2.7081579548465,0.288272143913502,1.376,53.641,17.161,647.675544842761,6.61016356002371
"7",0.6228,2.78292,10.2,2.0442,32.7221,10.1,1026.2843,5.76586102569852,0.0868374605014826,0.909,44.609,13.788,44.1182197813068,13.0411563610868
"8",0.2673,2.766714,10.204,0.3144,32.8897,10.104,1026.4384,1.69055698628838,0.0614644052116248,1.274,48.941,17.158,12.5032922795343,1.71128256273393
"9",-0.6836,2.748497,10.198,0.5449,33.6873,10.098,1027.1263,4.11833024040354,0.582130881158957,1.195,22.188,10.474,20.9646237595623,6.68634823108316
"10",-0.8498,2.715323,10.003,5.1757,33.4236,9.905,1026.9183,3.10466201968504,-1.22675401218504,1.734,57.446,21.936,89.5315971836324,3.18294137591726
"11",0.449,2.815727,10.154,4.9099,33.3351,10.054,1026.7873,1.53465182086614,0.196067116633858,1.36,57.348,17.956,20.4105498009845,14.6431192931852
"12",1.0173,2.852565,10.191,4.0921,33.2011,10.091,1026.6463,6.67533599206349,0.437256907936506,1.226,47.809,12.095,42.6533290898541,23.48878758833
"13",0.7323,2.844898,9.967,0.6643,33.4084,9.869,1026.8293,1.35916829134615,0.0103564346538464,1.636,56.823,22.512,12.684705607979,1.09413471785477
"14",0.753,2.835298,9.963,4.1869,33.2617,9.865,1026.71,0.910729884615384,-0.00519742961538454,1.453,54.196,22.426,21.0543639680217,3.6138757343508
"15",0.5587,2.841311,10.279,4.8152,33.5496,10.178,1026.9546,4.87832024519231,-0.0530495101923075,1.242,57.638,22.766,23.1279655809542,7.06614336056963
